movie_title,mcu_phase,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Iron Man,1,5/2/2008,94,91,126,"186,000,000",102118668,318604126,585171547
The Incredible Hulk,1,6/13/2008,67,70,112,"137,500,000",55414050,134806913,265573859
Iron Man 2,1,5/7/2010,72,71,124,"170,000,000",128122480,312433331,621156389
Thor,1,5/6/2011,77,76,113,"150,000,000",65723338,181030624,449326618
Captain America: The First Avenger,1,7/22/2011,79,75,124,"140,000,000",65058524,176654505,370569776
The Avengers,1,5/4/2012,91,91,143,"225,000,000",207438708,623357910,1515100211
Iron Man 3,2,5/3/2013,79,78,130,"200,000,000",174144585,408992272,1215392272
Thor: The Dark World,2,11/8/2013,66,75,111,"150,000,000",85737841,206362140,644602516
Captain America: The Winter Soldier,2,4/4/2014,90,92,135,"170,000,000",95023721,259746958,714401889
Guardians of the Galaxy,2,8/1/2014,92,92,121,"170,000,000",94320883,333714112,770882395
Avengers: Age of Ultron,2,5/1/2015,76,83,141,"365,000,000",191271109,459005868,1395316979
Ant-Man,2,7/17/2015,83,85,117,"130,000,000",57225526,180202163,518858449
Captain America: Civil War,3,5/6/2016,90,89,146,"250,000,000",179139142,408084349,1151918521
Doctor Strange,3,11/4/2016,89,86,115,"165,000,000",85058311,232641920,676354481
Guardians of the Galaxy Vol. 2,3,5/5/2017,85,87,135,"200,000,000",146510104,389813101,869113101
Spider-Man: Homecoming,3,7/7/2017,92,87,133,"175,000,000",117027503,334201140,878346440
Thor: Ragnarok,3,11/3/2017,93,87,130,"180,000,000",122744989,315058289,850482778
Black Panther,3,2/16/2018,96,79,134,"200,000,000",202003951,700059566,1336494321
Avengers: Infinity War,3,4/27/2018,85,91,149,"300,000,000",257698183,678815482,2048359754
Ant-Man and the Wasp,3,7/6/2018,87,81,118,"130,000,000",75812205,216648740,623144660
Captain Marvel,3,3/8/2019,79,45,124,"175,000,000",153433423,426829839,1129727388
Avengers: End Game,3,4/26/2019,94,90,181,"400,000,000",357115007,858373000,2797800564
Spider-Man: Far From Home,3,7/2/2019,90,95,129,"160,000,000",92579212,390532085,1132532832
Black Widow,4,7/9/2021,79,91,133,"200,000,000",80366312,183651655,379751655
Shang-Chi and the Legend of the Ten Rings,4,9/3/2021,91,98,133,"150,000,000",75388688,224543292,432243292
Eternals,4,11/5/2021,47,78,157,"200,000,000",71297219,164870264,402064929
Spider-Man: No Way Home,4,12/17/2021,93,98,148,"200,000,000",260138569,803975784,1891108035
